allpokelocid,c_2km
12046,6
12540,5
12639,7
12218,6
12551,6
10763,4
10875,4
12648,6
12002,6
12091,5
11970,5
10718,4
12191,6
11944,5
12552,6
12089,5
11197,7
12383,7
12712,8
12145,5
11041,12
12090,5
11046,5
11690,6
12739,8
10795,7
11196,7
11149,7
10924,7
11199,7
10762,5
11178,7
12217,7
11596,6
11541,7
10993,7
12775,8
12531,10
12761,12
11743,6
11219,7
13246,9
11251,7
12539,5
10895,4
12129,5
11968,7
11100,6
11816,13
11678,13
12003,5
10940,7
11501,10
11945,5
11396,7
10925,4
10894,4
11864,8
11437,7
12079,5
12666,5
12526,6
12938,8
10810,7
11372,10
12762,8
11198,7
11841,6
12013,6
11218,7
11728,6
12216,14
11177,7
12045,6
12603,7
10992,7
11754,6
10941,4
13261,7
11166,7
11711,6
12208,7
11072,6
12967,12
11710,6
12128,13
12164,5
12907,9
11915,6
12384,6
12917,13
11563,13
11842,6
12878,8
11373,7
11217,7
10966,4
12107,5
12106,14
13353,8
11983,5
11029,4
11985,5
11689,13
11423,6
12163,6
11250,11
10568,4
10917,7
11658,6
11627,6
12080,5
11274,13
10952,4
11595,13
12001,6
11796,6
12014,6
10975,7
12335,7
11840,13
10834,5
11288,12
11709,11
13328,9
12393,15
12176,14
11275,10
12032,5
11969,5
11422,7
12847,10
11137,12
13038,7
11515,7
11659,6
12124,5
10907,4
11982,6
11863,13
11081,7
10906,7
10809,7
12299,7
12130,5
11215,13
12937,9
10918,4
11818,6
11343,13
11216,12
13289,10
12689,8
12047,5
10951,7
12048,5
12667,5
12861,8
10850,7
11984,5
11466,11
11831,6
12688,13
12862,8
12031,6
11727,6
12355,7
13296,9
12576,7
11565,11
11564,12
10833,8
11362,7
11290,7
11795,12
10849,7
11289,7
11776,8
11817,12
11928,5
10232,5
10464,13
10108,5
10393,5
10167,5
10233,5
10248,5
10156,5
10127,5
10137,5
10651,13
10505,5
10166,12
10189,5
10794,13
10939,16
10743,7
10409,5
10234,5
10037,5
10619,7
10249,5
10618,13
10629,7
10179,5
10276,5
10026,5
10296,5
10423,5
10650,14
10155,5
10021,5
10548,13
9974,5
10449,5
