Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14024_001,SE_A18005_001,SE_A09003_001
"06075010100","14000US06075010100","Census Tract 101","Census Tract 101, San Francisco County, California","ca","140","00","ACSSF","0008986",,,,,"06","075",,,,"010100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3889,3889,12971.79,0.299804477858585,3889,83,13,280,53,299,1058,359,435,434,357,296,222,3889,1623,236,0,1534,0,377,119,3889,3414,1517,236,0,1534,0,8,119,475,106,0,0,0,0,369,0,2065,1978,87,52552,1688.31448572967,29
"06075010200","14000US06075010200","Census Tract 102","Census Tract 102, San Francisco County, California","ca","140","00","ACSSF","0008987",,,,,"06","075",,,,"010200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4167,4167,20917.4,0.199212119901714,4167,131,11,56,58,254,1154,668,291,547,403,431,163,4167,3420,84,0,503,17,62,81,4167,4031,3363,84,0,503,0,0,81,136,57,0,0,0,17,62,0,2876,2876,0,152275,2464.79328165375,34
"06075010300","14000US06075010300","Census Tract 103","Census Tract 103, San Francisco County, California","ca","140","00","ACSSF","0008988",,,,,"06","075",,,,"010300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4359,4359,42084.19,0.103578086076074,4359,68,121,129,0,204,1430,834,431,379,497,115,151,4359,2892,0,30,1266,0,97,74,4359,3952,2591,0,0,1266,0,21,74,407,301,0,30,0,0,76,0,3018,2952,66,89578,2244.72630173565,34
"06075010400","14000US06075010400","Census Tract 104","Census Tract 104, San Francisco County, California","ca","140","00","ACSSF","0008989",,,,,"06","075",,,,"010400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4536,4536,34991.5,0.129631488640102,4536,168,143,157,16,139,1253,839,553,660,295,259,54,4536,3140,9,8,1024,22,0,333,4536,4192,2855,9,8,1024,22,0,274,344,285,0,0,0,0,0,59,3220,3037,183,109186,2089.62326503635,31
"06075010500","14000US06075010500","Census Tract 105","Census Tract 105, San Francisco County, California","ca","140","00","ACSSF","0008990",,,,,"06","075",,,,"010500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2779,2779,10528.85,0.263941377334567,2779,192,0,27,12,137,550,416,333,302,302,309,199,2779,1540,252,0,658,0,52,277,2779,2569,1384,252,0,658,0,27,248,210,156,0,0,0,0,25,29,1555,1504,51,107457,2178.49538679915,28
"06075010600","14000US06075010600","Census Tract 106","Census Tract 106, San Francisco County, California","ca","140","00","ACSSF","0008991",,,,,"06","075",,,,"010600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3429,3429,47435.78,0.0722872075082973,3429,14,41,87,48,216,988,377,405,535,384,129,205,3429,1311,64,0,1910,0,40,104,3429,3282,1213,64,0,1910,0,0,95,147,98,0,0,0,0,40,9,2270,2143,127,55705,1499.37343358396,25
"06075010700","14000US06075010700","Census Tract 107","Census Tract 107, San Francisco County, California","ca","140","00","ACSSF","0008992",,,,,"06","075",,,,"010700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5548,5548,78447.63,0.0707223353930597,5548,160,103,219,101,286,998,700,657,795,711,481,337,5548,930,0,33,4308,0,240,37,5548,5215,814,0,33,4308,0,23,37,333,116,0,0,0,0,217,0,3032,2778,254,35131,996.089850249584,32
"06075010800","14000US06075010800","Census Tract 108","Census Tract 108, San Francisco County, California","ca","140","00","ACSSF","0008993",,,,,"06","075",,,,"010800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5038,5038,57716.18,0.0872892075175638,5038,212,91,62,62,262,1442,721,556,434,569,405,222,5038,2578,111,0,2169,0,17,163,5038,4726,2335,111,0,2149,0,17,114,312,243,0,0,20,0,0,49,3343,3184,159,80919,1934.35319377348,36
"06075010900","14000US06075010900","Census Tract 109","Census Tract 109, San Francisco County, California","ca","140","00","ACSSF","0008994",,,,,"06","075",,,,"010900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4486,4486,46354.78,0.0967753518549121,4486,65,73,77,0,182,1832,440,394,482,530,322,89,4486,3036,69,0,1112,0,67,202,4486,4291,2954,69,0,1112,0,0,156,195,82,0,0,0,0,67,46,3147,3132,15,110172,2218.2896688087,32
"06075011000","14000US06075011000","Census Tract 110","Census Tract 110, San Francisco County, California","ca","140","00","ACSSF","0008995",,,,,"06","075",,,,"011000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5127,5127,55518.54,0.0923475321121179,5127,152,14,62,0,209,2278,799,316,668,298,139,192,5127,2865,107,0,2061,0,94,0,5127,4812,2644,107,0,2061,0,0,0,315,221,0,0,0,0,94,0,3948,3791,157,91825,1835.73064590014,32
"06075011100","14000US06075011100","Census Tract 111","Census Tract 111, San Francisco County, California","ca","140","00","ACSSF","0008996",,,,,"06","075",,,,"011100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4835,4835,50677.82,0.0954066196445698,4835,164,22,48,0,251,1803,793,421,612,386,248,87,4835,2614,202,22,1727,0,75,195,4835,4345,2226,202,0,1727,0,37,153,490,388,0,22,0,0,38,42,3723,3703,20,86564,1806.31944444444,34
"06075011200","14000US06075011200","Census Tract 112","Census Tract 112, San Francisco County, California","ca","140","00","ACSSF","0008997",,,,,"06","075",,,,"011200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3329,3329,48598.59,0.0684999312738128,3329,43,100,49,37,197,891,480,461,359,403,218,91,3329,2066,169,6,967,0,27,94,3329,3179,1955,169,0,952,0,9,94,150,111,0,6,15,0,18,0,2211,2076,135,100455,2040.5819295559,29
"06075011300","14000US06075011300","Census Tract 113","Census Tract 113, San Francisco County, California","ca","140","00","ACSSF","0008998",,,,,"06","075",,,,"011300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2843,2843,71978.57,0.039497866399381,2843,122,45,71,19,153,488,208,345,397,243,420,332,2843,468,0,32,2231,0,8,104,2843,2768,441,0,0,2223,0,0,104,75,27,0,32,8,0,8,0,1408,1349,59,44467,996.35687732342,30
"06075011700","14000US06075011700","Census Tract 117","Census Tract 117, San Francisco County, California","ca","140","00","ACSSF","0008999",,,,,"06","075",,,,"011700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1790,1790,8402.514,0.213031488948984,1790,55,10,30,6,106,380,342,279,255,205,116,6,1790,629,67,0,869,0,141,84,1790,1605,562,67,0,860,0,58,58,185,67,0,0,9,0,83,26,1174,1127,47,60201,1357.48265609514,25
"06075011800","14000US06075011800","Census Tract 118","Census Tract 118, San Francisco County, California","ca","140","00","ACSSF","0009000",,,,,"06","075",,,,"011800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570,1570,71888.15,0.021839483426178,1570,44,27,34,19,87,356,158,257,237,162,143,46,1570,209,9,8,1310,0,0,34,1570,1546,193,9,0,1310,0,0,34,24,16,0,8,0,0,0,0,929,876,53,38555,1158.22102425876,29
"06075011901","14000US06075011901","Census Tract 119.01","Census Tract 119.01, San Francisco County, California","ca","140","00","ACSSF","0009001",,,,,"06","075",,,,"011901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2699,2699,112215.9,0.0240518488888752,2699,0,41,10,62,420,840,410,285,264,194,164,9,2699,1611,59,0,629,14,110,276,2699,2336,1401,59,0,629,14,0,233,363,210,0,0,0,0,110,43,1867,1781,86,78010,2093.52189781022,27
"06075011902","14000US06075011902","Census Tract 119.02","Census Tract 119.02, San Francisco County, California","ca","140","00","ACSSF","0009002",,,,,"06","075",,,,"011902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712,2712,75484.38,0.0359279656894163,2712,87,27,0,20,219,1030,417,302,203,259,123,25,2712,1601,25,0,829,12,111,134,2712,2510,1510,25,0,829,12,0,134,202,91,0,0,0,0,111,0,2082,2014,68,63011,1785.84474885845,29
"06075012000","14000US06075012000","Census Tract 120","Census Tract 120, San Francisco County, California","ca","140","00","ACSSF","0009003",,,,,"06","075",,,,"012000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3973,3973,82169.64,0.0483511892719194,3973,31,47,41,53,268,1345,645,574,593,262,114,0,3973,1783,241,74,1296,0,282,297,3973,3365,1555,241,9,1296,0,17,247,608,228,0,65,0,0,265,50,2792,2448,344,47028,1428.93442622951,28
"06075012100","14000US06075012100","Census Tract 121","Census Tract 121, San Francisco County, California","ca","140","00","ACSSF","0009004",,,,,"06","075",,,,"012100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3859,3859,80998.78,0.0476426917808113,3859,79,8,23,41,861,1503,574,296,215,166,93,0,3859,2132,175,0,1133,0,173,246,3859,3159,1702,175,0,1133,0,5,144,700,430,0,0,0,0,168,102,2775,2628,147,59093,1770.90284592738,29
"06075012201","14000US06075012201","Census Tract 122.01","Census Tract 122.01, San Francisco County, California","ca","140","00","ACSSF","0009005",,,,,"06","075",,,,"012201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4620,4620,129994.6,0.0355399330035506,4620,224,187,0,132,373,1589,528,597,602,133,255,0,4620,2208,278,0,846,0,887,401,4620,3277,1869,278,0,827,0,49,254,1343,339,0,0,19,0,838,147,2809,2736,73,49701,1611.36,31
"06075012202","14000US06075012202","Census Tract 122.02","Census Tract 122.02, San Francisco County, California","ca","140","00","ACSSF","0009006",,,,,"06","075",,,,"012202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3181,3181,88757.66,0.0358391621891684,3181,23,134,37,12,129,686,539,547,505,427,105,37,3181,1262,429,44,762,13,447,224,3181,2576,1149,429,44,762,13,0,179,605,113,0,0,0,0,447,45,1619,1469,150,38291,1419.11667765326,24
"06075012301","14000US06075012301","Census Tract 123.01","Census Tract 123.01, San Francisco County, California","ca","140","00","ACSSF","0009007",,,,,"06","075",,,,"012301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2117,2117,59502.16,0.0355785432210497,2117,102,31,27,62,71,346,370,383,329,166,122,108,2117,988,189,0,717,13,175,35,2117,1521,640,112,0,717,0,17,35,596,348,77,0,0,13,158,0,1011,949,62,30979,998.286604361371,31
"06075012302","14000US06075012302","Census Tract 123.02","Census Tract 123.02, San Francisco County, California","ca","140","00","ACSSF","0009008",,,,,"06","075",,,,"012302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2713,2713,75841.48,0.0357719804107201,2713,25,24,0,36,323,846,532,420,304,80,67,56,2713,1271,137,11,805,7,381,101,2713,2098,1087,137,0,797,0,9,68,615,184,0,11,8,7,372,33,1949,1814,135,52524,1586.50431253171,30
"06075012401","14000US06075012401","Census Tract 124.01","Census Tract 124.01, San Francisco County, California","ca","140","00","ACSSF","0009009",,,,,"06","075",,,,"012401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4667,4667,131425.6,0.0355105892382513,4667,257,59,228,156,156,984,784,717,802,335,151,38,4667,2070,521,54,1235,48,581,158,4667,3405,1497,521,6,1180,48,34,119,1262,573,0,48,55,0,547,39,2680,2606,74,28150,1041.02099927589,24
"06075012402","14000US06075012402","Census Tract 124.02","Census Tract 124.02, San Francisco County, California","ca","140","00","ACSSF","0009010",,,,,"06","075",,,,"012402",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4662,4662,33725.55,0.138233458996721,4662,160,49,66,18,443,1594,688,477,637,322,143,65,4662,2135,410,4,1470,47,357,239,4662,3651,1546,391,2,1470,47,19,176,1011,589,19,2,0,0,338,63,2907,2731,176,63044,1657.605893186,29
"06075012501","14000US06075012501","Census Tract 125.01","Census Tract 125.01, San Francisco County, California","ca","140","00","ACSSF","0009011",,,,,"06","075",,,,"012501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4293,4293,82205.13,0.0522230218827269,4293,171,184,259,144,270,532,553,612,656,620,200,92,4293,1352,396,47,1442,0,805,251,4293,3100,1012,396,17,1442,0,0,233,1193,340,0,30,0,0,805,18,2194,1980,214,22896,911.719457013575,25
"06075012502","14000US06075012502","Census Tract 125.02","Census Tract 125.02, San Francisco County, California","ca","140","00","ACSSF","0009012",,,,,"06","075",,,,"012502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3674,3674,155293.6,0.0236584107725596,3674,140,123,14,8,140,278,817,357,630,550,459,158,3674,860,559,277,1443,0,437,98,3674,3082,727,546,277,1443,0,0,89,592,133,13,0,0,0,437,9,1600,1310,290,21912,613.794642857143,24
"06075012601","14000US06075012601","Census Tract 126.01","Census Tract 126.01, San Francisco County, California","ca","140","00","ACSSF","0009013",,,,,"06","075",,,,"012601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516,2516,38228.83,0.065814204544577,2516,251,36,12,21,74,911,541,337,94,92,81,66,2516,2116,62,0,292,0,0,46,2516,2278,1913,62,0,292,0,0,11,238,203,0,0,0,0,0,35,1875,1841,34,123761,2618.18181818182,31
"06075012602","14000US06075012602","Census Tract 126.02","Census Tract 126.02, San Francisco County, California","ca","140","00","ACSSF","0009014",,,,,"06","075",,,,"012602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2844,2844,11697.29,0.243133172817789,2844,135,70,116,34,140,1044,401,375,177,154,133,65,2844,2225,13,0,496,0,44,66,2844,2733,2158,13,0,496,0,0,66,111,67,0,0,0,0,44,0,2014,1948,66,127228,2536.19631901841,33
"06075012700","14000US06075012700","Census Tract 127","Census Tract 127, San Francisco County, California","ca","140","00","ACSSF","0009015",,,,,"06","075",,,,"012700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4092,4092,24208.87,0.169028968473985,4092,78,55,138,75,99,1355,672,568,309,310,288,145,4092,3331,36,0,384,0,131,210,4092,3797,3167,36,0,384,0,0,210,295,164,0,0,0,0,131,0,2878,2768,110,113896,2521.52956298201,34
"06075012800","14000US06075012800","Census Tract 128","Census Tract 128, San Francisco County, California","ca","140","00","ACSSF","0009016",,,,,"06","075",,,,"012800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4556,4556,23702.46,0.192216334593056,4556,336,187,116,1,107,1651,669,425,520,283,151,110,4556,4055,2,0,393,0,17,89,4556,4025,3575,2,0,373,0,0,75,531,480,0,0,20,0,17,14,3106,3046,60,134097,2200.20188425303,30
"06075012901","14000US06075012901","Census Tract 129.01","Census Tract 129.01, San Francisco County, California","ca","140","00","ACSSF","0009017",,,,,"06","075",,,,"012901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2783,2783,39851.48,0.069834300390581,2783,177,48,31,17,60,1184,536,315,168,164,19,64,2783,2196,1,9,365,25,74,113,2783,2633,2148,1,9,365,25,0,85,150,48,0,0,0,0,74,28,2186,2093,93,120505,2275.48231511254,34
"06075012902","14000US06075012902","Census Tract 129.02","Census Tract 129.02, San Francisco County, California","ca","140","00","ACSSF","0009018",,,,,"06","075",,,,"012902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3865,3865,28366.96,0.136250052123794,3865,58,44,55,0,554,1642,409,417,105,237,196,148,3865,3235,83,10,353,0,40,144,3865,3627,3061,83,10,353,0,0,120,238,174,0,0,0,0,40,24,3172,3127,45,95449,2494.6847960445,31
"06075013000","14000US06075013000","Census Tract 130","Census Tract 130, San Francisco County, California","ca","140","00","ACSSF","0009019",,,,,"06","075",,,,"013000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4719,4719,33410.38,0.141243511552949,4719,136,26,113,61,457,2020,770,353,292,338,120,33,4719,4067,0,31,403,0,43,175,4719,4473,3930,0,31,403,0,0,109,246,137,0,0,0,0,43,66,3743,3651,92,114791,2512.39539748954,32
