"placekey","safegraph_place_id","parent_placekey","parent_safegraph_place_id","location_name","safegraph_brand_ids","brands","top_category","sub_category","naics_code","latitude","longitude","street_address","city","region","postal_code","iso_country_code","phone_number","open_hours","category_tags"
zzw-224@5vg-7f8-6tv,sg:ab6b3b5fcf414747ac9dd3e507574b2e,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.796967,-122.398156,99 Jackson St,San Francisco,CA,94111,US,+14154214464,"{ ""Mon"": [[""5:00"", ""18:30""]], ""Tue"": [[""5:00"", ""18:30""]], ""Wed"": [[""5:00"", ""18:30""]], ""Thu"": [[""5:00"", ""19:00""]], ""Fri"": [[""5:00"", ""18:30""]], ""Sat"": [[""5:30"", ""18:30""]], ""Sun"": [[""5:00"", ""18:30""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
222-222@5vg-836-66k,sg:760f6ed253ba4f2190015c77d2aec72f,225-226@5vg-836-66k,sg:b7ca2f3541af437ebd63007dc2c827b0,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.727867,-122.476713,233 Winston Dr,San Francisco,CA,94132,US,,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
229-222@5vg-7h2-brk,sg:8f23157e69524308beb0733884265167,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.770217,-122.403411,689 Townsend St,San Francisco,CA,94103,US,+14152557561,"{ ""Mon"": [[""4:00"", ""18:30""]], ""Tue"": [[""4:00"", ""18:30""]], ""Wed"": [[""4:00"", ""18:30""]], ""Thu"": [[""4:00"", ""18:30""]], ""Fri"": [[""4:00"", ""18:30""]], ""Sat"": [[""4:30"", ""17:30""]], ""Sun"": [[""5:30"", ""16:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
23h-222@5vg-7gx-ckf,sg:96f0c62450444db998700a94a63df27c,,,Boba Guys,SG_BRAND_3cb8a9183076df2c,Boba Guys,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.759967,-122.421133,3491 19th St,San Francisco,CA,94110,US,,"{ ""Mon"": [[""12:00"", ""21:00""]], ""Tue"": [[""12:00"", ""21:00""]], ""Wed"": [[""12:00"", ""21:00""]], ""Thu"": [[""12:00"", ""21:00""]], ""Fri"": [[""12:00"", ""22:00""]], ""Sat"": [[""12:00"", ""22:00""]], ""Sun"": [[""12:00"", ""18:00""]] }","Bubble Tea Shop,Counter Service,Dessert,Snacks"
229-223@5vg-7gr-xh5,sg:e3852b8175034944940ad488171fc32d,zzy-222@5vg-7gr-xbk,sg:802855f14cbf4c1ea9776a4ffc85039f,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.786524,-122.450454,3419 California St,San Francisco,CA,94118,US,+14152218506,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
zzw-224@5vg-7f8-4y9,sg:f6f8d8d1eb0c4702a057e6eec7fe8e95,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.802883,-122.40294,1255 Battery St Ste 600,San Francisco,CA,94111,US,+14154020379,"{ ""Mon"": [[""5:00"", ""18:30""]], ""Tue"": [[""5:00"", ""18:30""]], ""Wed"": [[""5:00"", ""18:30""]], ""Thu"": [[""5:00"", ""18:30""]], ""Fri"": [[""5:00"", ""18:30""]], ""Sat"": [[""6:30"", ""16:30""]], ""Sun"": [] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
zzy-222@5vg-7mw-dy9,sg:07ef4f1c9f4a498b88d9af8304f77c1a,zzw-222@5vg-7ms-8sq,sg:9144eb7b57c34380b3ebd16636b454a4,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.799209,-122.449507,1 Letterman Drive Building C Letterman Digital Art,San Francisco,CA,94129,US,+14154411740,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
23h-222@5vg-7gs-3wk,sg:4b797a7e418d4848b556811940cb90f8,,,Peet's Coffee and Tea,SG_BRAND_8421bf6b31aaf51cc6dfa83a155940a3,Peet's Coffee and Tea,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.789683,-122.434235,2197 Fillmore St,San Francisco,CA,94115,US,+14155639930,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop"
237-222@5vg-7gw-nbk,sg:2e74267fd75348a29d6a38bd97b584a8,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.797553,-122.430435,1899 Union St,San Francisco,CA,94123,US,+14159214049,,"Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
zzy-224@5vg-7gt-gkz,sg:d8ed675394724c24850630e5b3f60408,,,Starbucks,SG_BRAND_f116acfe9147494063e58da666d1d57e,Starbucks,Restaurants and Other Eating Places,Snack and Nonalcoholic Beverage Bars,722515,37.791952,-122.39835,398 Market St,San Francisco,CA,94111,US,+14157885856,"{ ""Mon"": [[""4:30"", ""18:00""]], ""Tue"": [[""4:30"", ""18:00""]], ""Wed"": [[""4:30"", ""18:00""]], ""Thu"": [[""4:30"", ""18:00""]], ""Fri"": [[""6:00"", ""18:00""]], ""Sat"": [[""8:00"", ""16:00""]], ""Sun"": [[""4:30"", ""18:00""]] }","Snacks,Counter Service,Dessert,Tea House,Coffee Shop,Bakery"
